January 1st|CONTROL AND CHOICE|“The chief task in life is simply this: to identify and separate matters so that I can say clearly to myself which are externals not under my control, and which have to do with the choices I actually control. Where then do I look for good and evil? Not to uncontrollable externals, but within myself to the choices that are my own . . .” —EPICTETUS, DISCOURSES, 2.5.4–5
January 2nd|EDUCATION IS FREEDOM|“What is the fruit of these teachings? Only the most beautiful and proper harvest of the truly educated—tranquility, fearlessness, and freedom. We should not trust the masses who say only the free can be educated, but rather the lovers of wisdom who say that only the educated are free.” —EPICTETUS, DISCOURSES, 2.1.21–23a
January 3rd|BE RUTHLESS TO THE THINGS THAT DON’T MATTER|“How many have laid waste to your life when you weren’t aware of what you were losing, how much was wasted in pointless grief, foolish joy, greedy desire, and social amusements—how little of your own was left to you. You will realize you are dying before your time!” —SENECA, ON THE BREVITY OF LIFE, 3.3b
January 4th|THE BIG THREE|“All you need are these: certainty of judgment in the present moment; action for the common good in the present moment; and an attitude of gratitude in the present moment for anything that comes your way.” —MARCUS AURELIUS, MEDITATIONS, 9.6
January 5th|CLARIFY YOUR INTENTIONS|“Let all your efforts be directed to something, let it keep that end in view. It’s not activity that disturbs people, but false conceptions of things that drive them mad.” —SENECA, ON TRANQUILITY OF MIND, 12.5
January 6th|WHERE, WHO, WHAT, AND WHY|“A person who doesn’t know what the universe is, doesn’t know where they are. A person who doesn’t know their purpose in life doesn’t know who they are or what the universe is. A person who doesn’t know any one of these things doesn’t know why they are here. So what to make of people who seek or avoid the praise of those who have no knowledge of where or who they are?” —MARCUS AURELIUS, MEDITATIONS, 8.52
January 7th|SEVEN CLEAR FUNCTIONS OF THE MIND|“The proper work of the mind is the exercise of choice, refusal, yearning, repulsion, preparation, purpose, and assent. What then can pollute and clog the mind’s proper functioning? Nothing but its own corrupt decisions.” —EPICTETUS, DISCOURSES, 4.11.6–7
January 8th|SEEING OUR ADDICTIONS|“We must give up many things to which we are addicted, considering them to be good. Otherwise, courage will vanish, which should continually test itself. Greatness of soul will be lost, which can’t stand out unless it disdains as petty what the mob regards as most desirable. —SENECA, MORAL LETTERS, 74.12b–13
January 9th|WHAT WE CONTROL AND WHAT WE DON’T|“Some things are in our control, while others are not. We control our opinion, choice, desire, aversion, and, in a word, everything of our own doing. We don’t control our body, property, reputation, position, and, in a word, everything not of our own doing. Even more, the things in our control are by nature free, unhindered, and unobstructed, while those not in our control are weak, slavish, can be hindered, and are not our own.” —EPICTETUS, ENCHIRIDION, 1.1–2
January 10th|IF YOU WANT TO BE STEADY|“The essence of good is a certain kind of reasoned choice; just as the essence of evil is another kind. What about externals, then? They are only the raw material for our reasoned choice, which finds its own good or evil in working with them. How will it find the good? Not by marveling at the material! For if judgments about the material are straight that makes our choices good, but if those judgments are twisted, our choices turn bad.” —EPICTETUS, DISCOURSES, 1.29.1–3
January 11th|IF YOU WANT TO BE UNSTEADY|“For if a person shifts their caution to their own reasoned choices and the acts of those choices, they will at the same time gain the will to avoid, but if they shift their caution away from their own reasoned choices to things not under their control, seeking to avoid what is controlled by others, they will then be agitated, fearful, and unstable.” —EPICTETUS, DISCOURSES, 2.1.12
January 12th|THE ONE PATH TO SERENITY|“Keep this thought at the ready at daybreak, and through the day and night—there is only one path to happiness, and that is in giving up all outside of your sphere of choice, regarding nothing else as your possession, surrendering all else to God and Fortune.” —EPICTETUS, DISCOURSES, 4.4.39
January 13th|CIRCLE OF CONTROL|“We control our reasoned choice and all acts that depend on that moral will. What’s not under our control are the body and any of its parts, our possessions, parents, siblings, children, or country—anything with which we might associate.” —EPICTETUS, DISCOURSES, 1.22.10
January 14th|CUT THE STRINGS THAT PULL YOUR MIND|“Understand at last that you have something in you more powerful and divine than what causes the bodily passions and pulls you like a mere puppet. What thoughts now occupy my mind? Is it not fear, suspicion, desire, or something like that?” —MARCUS AURELIUS, MEDITATIONS, 12.19
